"shipping_method","order_status","total_orders","total_quantity","total_profit","net_sales"
Economy,Cancelled,1699,8471,1203598.04,2272642.25
Economy,Completed,22855,131468,12029904.53,28992585.71
Economy,Pending,1357,7553,681260.33,1663231.94
Economy,Returned,1913,9593,1430942.17,2708946.64
Express,Cancelled,1979,9869,1423688.93,2731628.76
Express,Completed,28320,161300,14825028.54,35884696.25
Express,Pending,1691,9560,865537.14,2081948.44
Express,Returned,2383,11729,1733732.50,3305390.78
Same Day,Cancelled,869,4300,593075.68,1141983.93
Same Day,Completed,11460,65326,6041156.01,14765350.30
Same Day,Pending,666,3864,340108.08,826355.85
Same Day,Returned,918,4541,666076.79,1290164.98
Standard,Cancelled,3851,19209,2753785.71,5210224.84
Standard,Completed,50924,290399,26862379.95,64553206.33
Standard,Pending,2983,17063,1601275.42,3837734.45
Standard,Returned,4248,21310,3094845.94,5868172.37
